File,AvgMeanCurvature,ComputeArea,Volume,ShapeIndex,Curvedness,FractalDimension
01,0.0648853,6881.311,38220.875,0.49847916,0.03227746,2.10291592338
02,0.10484308,6413.278,21827.904,0.37753963,0.058555324,2.09322793321
03,0.08831305,3628.591,13678.52,0.3739455,0.06368646,2.09760389004
04,0.17689092,2796.2056,4937.2324,0.3876807,0.122892484,2.12469282132
05,0.095558845,7399.642,25560.906,0.4425566,0.044082187,2.124363831
06,0.08402147,5680.6235,23668.078,0.38168588,0.04568428,2.08857430639
07,0.08610407,7090.954,25881.234,0.3670964,0.042966206,2.08968106347
08,0.8750161,51.81985,22.805584,0.41656038,0.5486918,2.12776857562
09,0.05531191,3593.734,11633.587,0.2309449,0.13890351,2.14900765795
10,0.116303146,5775.8364,18155.777,0.35193893,0.060379576,2.09474056776
11,0.2055192,2675.3823,3994.1357,0.35161743,0.10926586,2.05113788542
12,0.36286312,2071.6177,2902.695,0.4239108,0.46284282,2.11951292777
13,0.26616317,1156.3503,1318.7548,0.36403546,0.18534668,2.11733916563
15,0.0929592,2391.8716,8119.168,0.5387015,0.044314086,2.09039886517
16,0.03216099,3700.117,14989.886,0.34334484,0.13433899,2.10272297502
17,0.0910445,2222.3362,7531.1685,0.50009966,0.047474556,2.09805717192
18,0.09828783,5198.5513,15228.612,0.37042534,0.047861777,2.11007921388
19,0.083421156,4438.25,13338.611,0.23723063,0.12558259,2.11206220258
20,0.079426855,5257.6753,21683.31,0.37791428,0.059650693,2.1126212923
21,0.079697385,4555.7734,20282.871,0.43479708,0.049707368,2.10083924867
22,0.0940101,5292.3276,15534.597,0.3132789,0.054822333,2.09153314568
23,0.2186405,2762.7913,4160.889,0.43573678,0.1290637,2.32188497479
25,0.0991001,10114.908,33662.117,0.4666727,0.041972652,2.13651344511
26,0.08164036,4584.606,11675.356,0.27364844,0.11652059,2.1284425654
27,0.07064941,6732.4917,27767.273,0.395905,0.05029486,2.09203172179
28,0.070186585,8148.3726,33468.85,0.33978903,0.04413101,2.09874564001
29,0.08732069,4822.979,12500.139,0.29395798,0.07479976,2.10471107454
30,0.2367007,2571.086,3727.9326,0.39993706,0.13957664,2.21984298366
31,0.12336909,1952.6698,3778.4888,0.31564832,0.1675607,2.11704131491
32,0.32747218,1204.3374,1201.5583,0.38906893,0.21050356,2.30983255619
33,0.15570673,1318.9049,2618.0803,0.2732601,0.15115319,2.08732053614
34,0.09505327,2194.1528,7110.382,0.45862985,0.04685725,2.09087682976
35,0.08924415,2355.9446,8614.625,0.5406618,0.045917396,2.10724403473
36,0.074581474,5164.753,25405.457,0.4436862,0.04196709,2.10753154887
37,0.09373892,4192.189,16805.99,0.379286,0.06308194,2.08956643198
38,0.093012646,4247.08,15584.894,0.35161668,0.073717944,2.11263130486
39,0.14238515,1527.459,2593.7224,0.28913474,0.12690276,2.09910705333
40,0.1095976,5299.1147,13409.837,0.35430983,0.058704976,2.10602079651
41,0.11306749,5425.4946,11418.477,0.2840765,0.07780758,2.113159344
